340526.6667	69600	12691	2708.884886	5071.428571	23964.51613	42584.13	819	236	12.1	46.2	75.03	7.5	23.58	3.77	0.58	3.35	0.48	2.78	0.61	1.72	0.29	2.02	0.33	110	17.66	22.87128713	6.228765572
311360	69650	26397	3421.523214	26000	12612.90323	39927.81	794	243	9.12	28.6	53.1	5.67	19.3	3.47	0.73	2.98	0.47	2.91	0.61	1.71	0.3	1.92	0.32	242	18.2	14.89583333	13.2967033
332733.3333	70900	18606	3676.382557	22357.14286	13800	31875.84	2420	168	9.18	24.6	47.6	5.07	18.2	3.3	1.1	2.95	0.46	2.7	0.6	1.72	0.26	1.74	0.29	199	17	14.13793103	11.70588235
330026.6667	73700	12831	5012.871225	21285.71429	12835.48387	41338.98	1150	291	8.73	31.6	57.4	6.02	21.5	3.81	0.83	3.32	0.52	3.08	0.68	1.94	0.29	1.96	0.31	309	19.2	16.12244898	16.09375
353920	62650	11235	1195.471517	8357.142857	27896.77419	33868.08	119	251	20.3	28.1	62.5	7.75	26.7	6.05	0.17	6.55	1	7.06	1.38	3.67	0.61	4.28	0.66	115	41.7	6.565420561	2.757793765
356906.6667	63650	6020	1717.251862	8071.428571	26783.87097	37271.49	161	286	27	33.9	73	9.1	32	7.26	0.24	7.1	1.06	8.04	1.61	4.12	0.7	5.12	0.76	133	46.9	6.62109375	2.835820896
356300	63100	3668	3120.98508	11285.71429	24780.64516	36524.4	293	275	21.9	13.7	29.4	3.65	13.2	3.24	0.29	3.44	0.59	4.43	0.91	2.59	0.48	3.53	0.59	173	32.5	3.88101983	5.323076923
283453.3333	75500	49700	4350.70971	30928.57143	22629.03226	26314.17	504	141	10	27.4	57.6	6.94	28	5.78	1.09	5.66	0.85	5	1.01	2.89	0.43	2.78	0.41	262	29	9.856115108	9.034482759
286253.3333	73600	51450	4387.303621	32142.85714	22258.06452	26563.2	518	120	10.3	27.8	58.1	7.1	28.3	5.81	1.07	5.67	0.85	5.1	1.02	2.98	0.45	2.91	0.44	236	29.7	9.553264605	7.946127946
284900	75100	50540	4379.76665	29357.14286	23890.32258	24986.01	522	132	9.88	27.6	57.4	6.83	27.7	5.64	1.09	5.52	0.83	4.94	1	2.88	0.43	2.83	0.42	289	29	9.752650177	9.965517241
253493.3333	81400	53550	5161.994979	52642.85714	31458.06452	23740.86	839	104	12.9	37.5	78	9.45	35	6.67	1.59	5.81	0.82	4.61	0.88	2.52	0.36	2.37	0.34	497	25.5	15.82278481	19.49019608
242853.3333	90850	63490	4429.210536	59571.42857	23964.51613	14692.77	588	55.5	8.58	29.1	57.7	7.62	34.1	6.32	1.67	5.78	0.8	4.28	0.82	2.26	0.3	1.86	0.3	626	22.9	15.64516129	27.33624454
315000	77650	31675	3002.417108	18785.71429	15654.83871	42418.11	831	213	12.3	28.4	56.19	6.49	22.7	3.8	0.85	3.1	0.46	2.31	0.47	1.35	0.23	1.47	0.24	269	12.9	19.31972789	20.85271318
313786.6667	80500	33425	3397.049281	25000	30048.3871	26978.25	854	120	9.9	30	62.92	7.57	25.2	3.96	1.1	3.04	0.35	1.64	0.29	0.78	0.11	0.69	0.1	504.1	7.9	43.47826087	63.81012658
323680	73300	31885	3540.141657	21857.14286	26635.48387	30132.63	823	104	11.8	23.4	52.06	6.03	20.7	3.66	0.83	2.82	0.38	1.7	0.31	0.78	0.12	0.72	0.11	419.7	8	32.5	52.4625
330680	73900	27370	2700.093859	16928.57143	26487.09677	31377.78	772	118	12.5	20.8	43.34	5.2	17.3	3.01	0.79	2.48	0.37	1.83	0.35	0.96	0.15	0.96	0.15	296.9	9.7	21.66666667	30.60824742
335440	72800	26285	2494.681978	15357.14286	27080.64516	34034.1	742	131	13.2	22.6	46.31	5.61	18.4	3.21	0.8	2.63	0.4	1.91	0.37	1.02	0.16	1.03	0.16	359.8	10.3	21.94174757	34.93203883
315046.6667	77600	31962	3067.916485	26000	19290.32258	29219.52	832	212	12.2	28.5	56.18	6.46	22.76	3.82	0.86	3.08	0.47	2.3	0.48	1.34	0.25	1.46	0.23	272.6	13	19.52054795	20.96923077
313880	80350	33124	3435.460841	25071.42857	29974.19355	26895.24	852	122	9.8	30.4	62.94	7.54	25.23	3.93	1.11	3.02	0.37	1.62	0.31	0.76	0.13	0.68	0.12	506.1	7.8	44.70588235	64.88461538
313600	77600	34727	3293.955855	25428.57143	25077.41935	30049.62	639	119	8.8	34.45	61.92	8.84	25.89	4.92	1.07	3.63	0.56	2.6	0.59	1.47	0.26	1.5	0.24	397.1	13.2	22.96666667	30.08333333
315746.6667	77700	35693	3143.50741	27428.57143	25374.19355	28472.43	687	125	11.1	30.67	62.02	7.46	24.71	4.28	1.02	3.64	0.55	2.76	0.56	1.68	0.28	1.92	0.31	387.6	16.1	15.97395833	24.07453416
323540	73250	31724	3569.852315	21928.57143	26561.29032	30215.64	825	102	11.7	23.39	52.11	6.01	20.68	3.67	0.82	2.83	0.39	1.71	0.3	0.77	0.13	0.71	0.13	418.9	8.1	32.94366197	51.71604938
343046.6667	69100	12649	3887.137757	6142.857143	24409.67742	38184.6	897	190	10.6	34.5	61.93	8.83	25.9	4.94	1.08	3.62	0.57	2.59	0.59	1.31	0.25	1.49	0.25	206	13	23.15436242	15.84615385
340760	68850	15547	2327.060254	6714.285714	26932.25806	41172.96	887	161	12.5	30.7	62.04	7.45	24.7	4.27	1.03	3.62	0.54	2.78	0.58	1.23	0.29	1.93	0.32	345	12.1	15.90673575	28.51239669
360266.6667	60900	7175	2685.973607	5285.714286	26190.32258	38184.6	359.1	203.2	16.92	23.4	52.06	6.03	20.7	3.66	0.83	2.82	0.38	1.7	0.31	1.542	0.12	0.72	0.11	63.82	16.27	32.5	3.922556853
361013.3333	59900	7546	2784.662962	5357.142857	25374.19355	38101.59	450.8	214.3	14.57	20.8	43.34	5.2	17.3	3.01	0.79	2.48	0.37	1.83	0.35	1.282	0.15	0.96	0.15	70.47	13.81	21.66666667	5.102824041
333853.3333	65600	9800	3116.893257	13500	18919.35484	49639.98	446.4	231.5	5.11	13.92	24.77	3.29	12.29	2.44	0.58	1.95	0.28	1.46	0.27	0.7	0.1	0.65	0.1	103	8.07	21.41538462	12.76332094
336746.6667	67600	12439	5143.593802	10071.42857	29306.45161	36524.4	296	159.5	8.04	15.97	32.6	3.97	14.61	3.01	0.64	2.48	0.36	1.92	0.35	0.92	0.13	0.86	0.13	137.6	10.61	18.56976744	12.96889727
360453.3333	57650	10164	2227.145931	6000	21516.12903	40591.89	406.8	145.8	13.05	22.43	36.07	4.73	15.89	3.13	0.37	2.47	0.4	2.21	0.44	1.26	0.19	1.3	0.21	107.1	13.24	17.25384615	8.089123867
333806.6667	70900	17815	3359.845137	13714.28571	27970.96774	30464.67	489.4	110.3	9.77	31.21	61.77	6.77	23.33	4.03	0.62	3.69	0.58	3.6	0.72	2.09	0.33	2.23	0.35	142.9	20.16	13.9955157	7.088293651
335860	69100	18683	3186.319008	11571.42857	26635.48387	35362.26	913.9	134.3	10.08	25.84	51.21	5.61	19.41	3.43	0.71	3.24	0.49	2.87	0.56	1.6	0.25	1.64	0.25	148.4	16.37	15.75609756	9.06536347
334133.3333	70100	17871	3454.141857	14000	27896.77419	31958.85	499.6	149.9	9.63	33.46	64.54	6.79	22.39	3.89	0.67	3.61	0.55	3.35	0.68	1.98	0.33	2.23	0.35	156.6	19.43	15.0044843	8.059701493
342673.3333	68350	12201	3071.359877	7000	24187.09677	40259.85	526.6	182.2	9.38	6.09	20.86	1.56	6.02	1.52	0.43	1.59	0.3	2.12	0.46	1.43	0.23	1.62	0.27	126.1	14.09	3.759259259	8.949609652
342953.3333	71650	11067	3225.738542	12000	25522.58065	31460.79	515.4	136.5	9.17	12.13	24.73	2.74	9.62	2.06	0.61	1.96	0.35	2.35	0.53	1.6	0.25	1.77	0.29	154.5	15.75	6.853107345	9.80952381
356580	62750	4809	1874.546933	1785.714286	17287.09677	53541.45	162.6	245.2	3.11	12.61	23.61	2.41	8.29	1.51	0.35	1.19	0.17	1.06	0.22	0.66	0.11	0.76	0.13	73.28	6.81	16.59210526	10.76064611
320133.3333	73850	22631	2941.319561	11285.71429	25522.58065	50802.12	870	284	14.6	42.6	75.6	10.8	45.2	8.85	1.4	7.98	1.3	8.04	1.6	4.4	0.66	4.42	0.68	142	41	9.63800905	3.463414634
323120	76550	25228	3334.367468	18357.14286	29603.22581	26812.23	121	121	9.29	49	72.8	9.26	32.4	4.69	1.03	4.31	0.54	3.11	0.61	1.71	0.27	1.83	0.28	248	16.9	26.77595628	14.67455621
333480	70050	20265	3238.823226	13642.85714	26116.12903	32788.95	138	138	7.35	27.8	45	5.63	20.7	3.22	0.72	2.97	0.41	2.54	0.53	1.46	0.23	1.58	0.26	169	14.7	17.59493671	11.49659864
318033.3333	72200	24927	3132.82173	13785.71429	23074.19355	52379.31	316	316	16	69.1	129	17.1	68.4	12.6	1.89	11.5	1.76	10.7	2.14	5.65	0.86	5.73	0.86	161	53.9	12.05933682	2.987012987
322653.3333	73550	23394	3453.753812	17214.28571	28193.54839	29800.59	146	146	8.76	37	58.9	7.46	27.5	4.38	0.96	3.95	0.57	3.43	0.67	1.85	0.28	1.96	0.3	238	18.2	18.87755102	13.07692308
